id,kood,nimi,markus,sort,tase,jrk
856,011003003,Hea neiupõli,ERlA 2023. HEA NEIUPÕLI,2,3,
857,011006002,"Ehkki ilus, ikka ei võta","ERlA 2171. EHKKI ILUS, IKKA EI VÕTA",2,3,
858,013001021,"Teng, hobu, naine","ERlA 2949. TENG, HOBU, NAINE",2,3,
859,011006031,Kosilase tagasipõlgamine,"ERlA 2357. KOSILASE TAGASIPÕLGAMINE, vrdl 2358. VAESE KOSILASE PÕLGAMINE",2,3,
860,010002030,Tütar on kodu ehteks,"ERlA 1857. TÜTAR ON KODU EHTEKS. peamiselt eP ja Mulgimaal tuntud. Vt. ka laulud 1856 ja 2139 („Pane see tütar minule“) — sama põhimotiiv „tütar kui muna murul, õun õue pääl“.",2,3,
861,013001019,Põlvist põdema,"Põlvist põdema: VK VIII 29, VK IX 24, VK XI 374, ERlA 2986; Haige noorik – VK VI 30, VK VII 266, VK X 16; Tõbine naine – VK III 167, VK IV 226, VK V 389, ERlV IV 61.",2,3,
862,008003061,Palve sakstele,ERlA 1333. PALVE SAKSTELE,2,3,
863,003009008,Heinast hobune,"vt VK XI Heinast hobune 3: 1, 374: 3; VK V Heinast hobu 376 - (VK II 53); VK II 337: Ilmatark vend; VK III 30; ERlV IV 80-81; ERlA 804: Tuulest talguhobu",2,3,
864,005005063,"Tere, kõrts","ERlA 577. TERE, KÕRTS; VK XI Tere, kõrts!: Tere kõrtsi, kõrvi kirja! – VK II 261; Kõrtsi teretamine – VK IV 49",2,3,
865,011003008,Kardab rahad kuluvat,"Motiiv, vrdl ERlA 428. Ei kullad kulu kiigel: ka nimetuse all «Kulla kulumine» tuntud; populaarne saartel ja eP.",2,3,
866,002001037,Lauldud hobu ja sadul,"Lauldud hobu ja sadul - VK VI 566, VK VII 210, VK VIII 399, VK X 127, VK XI 34; Hobu ja sadul – VK III 77, VK V 181, ERlV V 20; Laulust hobu – VK IX*, VK XII 248,  ERlA 74. ERlA: 74. Laulust hobu: tuntud eP, ulatub ka Mulgimaale, ülesehituselt ahellaululaadiline (on mõnikord peetudki ahellaulu",2,3,
867,002002013,Võta regi rindadeks,"Võta regi rindadeks! - VK XI 42; Võta äke hääleks! – VK VI 910, VK VII 138, VK VIII 412, VK X 145; Mis sa laalad, lampilõuga? – VK II 220; Halb laulik – VK III 260; Mis sa,

hääletu, ägised! – VK V 115; Võidulaulmine – ERlA 99 C; Lauliku sõim – ERlA 122.",2,3,
868,002002011,Porikärbes,"VK X 147. Mis sa, sitikas, sirised!: VK V 114, VK VI 913, VK VII*, VK VIII 416, VK IX 246, ERlV V 28; Lauliku sõim - VK III 262, ERlA 122 (var. 4); Laulikute sõimlemine - VK IV 291; Porikärbes - ERlA 2893.",2,3,
869,002002004,Kust see laulik tulnud,ERlA 2905. KUST SEE LAULIK TULNUD?,2,3,
870,002002014,Ära haugu!,"ERlA 2901. ÄRA HAUGU! !: eP, hajuv tüüp, liitub mitmeti.
VK XIII 64. Ära haugu! Vrd Keelake haukumast: VK VII 447, VK VIII 284, ERlA 2897.",2,3,
871,002002002,Haugu väljal sigu!,ERlA 2900. HAUGU VÄLJAL SIGU!,2,3,
872,002001048,Laulud lutsu suust,"Laulud lutsu suust - VK X 131, VK XI 27;ERlV I F 6; Kust lood võetud? – VK VIII 387; Kust laulud saadud – VK IX*, ERlA 59 C; Lauliku vabandus – VK II 10 A. Vrd Lood luige suust – VK VII 218; Kust lood võetud? – VK VI 570.",2,3,
873,002001050,Laulud tööl õpitud,"Laulud tööl õpitud: VK III 74, VK IV 94, VK V 175, VK VI 567, VK VII 217, VK VIII 386, VK IX 229, VK XI 26, ERlV V 5–6; Kust sie laps nied laulud võtnud – VK II 3; Lauliku vabandus – VK II 10 B; Kes mind kuuleb laalevada – VK II 14 A; Kust laulud saadud –

ERlA 59 A.",2,3,
874,006009052,Pühkmed merre,ERlA 951. PÜHKMED MERRE,2,3,
875,010005006,Kasvatus asjatu,"Kasvatus asjatu: VK III 17, VK IV 22, VK VI 438, VK VII 289, VK IX 291, VK XI 223, ERlA 1199: 4, ERlV V 42–43.",2,3,
876,006008053,Mina mõistan mõrrad teha,"vrd ERlA 987. MÕRRAD MÕISA POOLE. Mõrrdade tegemine, puudub mõisa element",2,3,
877,011003022,Mesi meeste meelest,"Mesi meeste meelest: VK VI 663, VK XI 232, ERlA 2184",2,3,
878,013001003,Kodus kositud naine,motiiv,2,3,
879,011006088,Võta vaene naine,vrdl ERlA 2319. Võta vaene!,2,3,
880,010002029,Tütar läheb aita ehtima,"ERlA 1853. Tütar läheb aita ehtima: iseseisva lauluna haruldane, motiivina tuntum, esineb lauludes 406 („Kiigele ehtimine“), 41 („Põll põrmune“), 1852 jm.",2,3,
881,007002007,Sugulased surnud,vrdl ERlA 1240. Õed-vennad mullas: esineb Põhja-Eestis; võrdlemisi haruldane,2,3,
882,008003051,Mõisad külas,"ERlA 1346. Mõisad külas: Põhja-Eesti idaosas tuntud, eriti põhjarannikul. Põhikuju sisaldab motiivid: 1) miks on maad madalad — miks on vald vaene, 2) sest, et on mõisad külas, 3) mõis sööb härjadhobused. Viimase motiivi asemel võib aga reas teisendites kohata teistsuguseid, juhuslikum",2,3,
883,011008021,Vanatüdruk istub leelõukal,"Vanatüdruk istub leelõukal: VK IX 178, VK XI 303, ERlA 2094",2,3,
884,003009021,Hobuse surm,paroodia?,2,3,
885,009001008,Nekrutite võtmine,"ERlA 1716. Nekrutite võtmine: ülemaaliselt on levinud laulud nekrutite võtmisest. Neis kajastuvad nii soldatite värbamise varasemad (nekrutite «püüdmine», vägisi võtmine) kui ka hilisemad (soldatiks saatmine liisuvotmise alusel) vormid. Tuleb ette, et nii püüdmise kui ka liisuvõtmise mo",2,3,
886,006002008,Kuhu teeme õitsitule,"ERlA 691. Kuhu teeme õitsitule: tuntud üle maa (välja arvatud saared), ent eelistavalt siiski eP. Sageli liitub sissejuhatava osana laulule 2043 Karske neiu",2,3,
887,011003047,Poisi ja neiu matus,"Poisi ja neiu matus: VK IV 38, VK V 210, VK VI 512, VK VIII 375, VK XI 282,  ERlV V 65, ERlA 1970; Neiu ja poisi matus – VK I 119. ERlA: ülemaaliselt tuntud neidude ülistus ning poiste (~ vanapoiste, harva ka vanatüdrukute) pilkelaul. Kompositsioonilt kahepoolne laul, koosneb kahest vastandliku",2,3,
888,008003076,Saks ei luba naist,"Saks ei luba naist: VK III 183, VK V 391, VK VIII*, VK XI 173, ERlA 1327; Saks ei sallinud naist – VK VI*. ERlA: sissejuhatava motiivina mõisavastastes lauludes tuntud Põhja-Eesti rannikualal; ühenduses motiiviga «Lombakas naine ja küürakas hobu» kujunenud püsivaks ühtsuseks Lääne- ja E",2,3,
889,008005012,Liigsööja,"ERlA 1524. Liigsööja: levinud ülemaaliselt, selgema arendusega aga eP. Sõnastuselt hüperboolne. Esineb arvukates liitumistes selgeilmeliste sulaselauludega, mis sunnibki arvama, et tegemist on sotsiaalse 

protesti kajastumisega. Teisendite enamikus on peategelane «suur söödik» sotsiaalselt",2,3,
890,008003037,Kupja sajatus,sajatus,2,3,
891,008003087,Tilluke teomees,"Tilluke teomees: VK VI 220, VK X 284, VK XI 174, ERlA 1357; Tilluke teopoiss – VK VIII 182, VK IX 137. ERlA: 1357. Tilluke teomees: tuntud ülemaaliselt. Puhtalt esineb harva, tavaliselt ühenduses lauluga 1203 («Kus istun — seal itken»).",2,3,
892,011003049,Poiss ei tohi lüüa,"füüsiline vägivald ja laim, mitte seksuaalne tähelepanu",2,3,
894,011002021,"Ärge naerge neide, endal naine võtmata","Ärge naerge neide, endal naine võtmata! - VK VI 502, VK XI 280, ERlA 1962; Ärge naerge neiusid! – VK III 95, VK IV 176; Ärge naerge neide! – VK VII*.",2,3,
895,003009002,Ehitud hobune,"ERlA 310. Ehitud hobune: eP tuntud, populaarsem siiski motiivina (kui lauluna), tüüpides 1071 («Tore sõit»), 2342 («Ehi hobu, siis tuleb naine»), 2345 («Ehitud hobu sõidab rikkasse tallu»), 2369 («Mustad mundrisse») ja mujal sõidulauludes; ühisjooni lauluga 394 («Jaani hobune»).",2,3,
896,011004028,Ärge põlake poisse!,"ERlA 2294. Ärge põlake poisse!: eP tuntud, sisu poolest vrd. lauluga 2082 («Saab juurde, seisab vagusi»). On teatavaks paralleeliks laulule 1962 («Ärge naerge neide, endal naine võtmata»).",2,3,
897,011003001,Eest ära neiude teelt,"ERlA 2032. Eest ära neiude teelt!: peamiselt eP tuntud, mujal sporaadiliselt. Ligidane lauludele 525 («Vend tuleb tantsima») ja 1262 («Eest ära, rikkad tulevad?») kas ühistest motiividest on võimalik järeldada geneetilist seost — vajab põhjalikumat uurimist.",2,3,
898,013001006,Kutsuti koduväiks,"ERlA 2947. Kutsuti koduväiks: eP tuntud laulutüüp, levikukeskuseks on Virumaa; esineb paljudes arendustes, neist on põhiline ja peamiselt tuntud A, teised on juhuslikuma laadiga. Liidab enesega motiive mitmelt poolt. Vrd. järgmisega — ühine algus — ja lauluga 2199. Siit lähtub ka 2970.",2,3,
899,008004021,Varga õpetamine,"ERlA 1180. Varga ja armukese õpetamine: A. Varga õpetamine — tuntud ülemaaliselt (valdavalt Ida-Eestis, põhjarannikult kuni lõunapiirini välja); suhteliselt väheste variantidega esindatud. Sisu: kaks varast lähevad tallu, kus parajas pidutsetakse. Üks läheb majja ja hakkab majarahva täh",2,3,
900,015002004,Sõnad kadeduse vastu,vrdl ERlA 3205. Sõnad kahetuse vastu; 3206. Sõnad viha vastu; 3208. Vihavaenu kaotamise sõnad; 3209. Sõnad nõiduse vastu,2,3,
902,014004003,Iir-iir,,2,3,
903,006003001,Halb hein,"Halb hein: VK XI 122, ERlV I E 3; Teohobuse söök – ERlV V 109",2,3,
904,012027006,Kes käskis kenasti käia!,"Kes käskis kenasti käia!: VK III 200, VK IV 260, VK VI 813, VK X 113, VK XI 322, ERlA 2523; Kes käskis meil käia! – VK IX*

ERlA 2523. Kes käskis kenasti käia: ülemaaliselt tuttav, populaarne laul; vrd. õpetuslauluga 2298 («Käi kenasti!»), tüpoloogiliselt ligidased. Siia liitub puhuti ",2,3,
905,013002062,Söök isa- ja mehekodus,,2,3,
906,003001012,Külm vilja võtnud,"Külma võetud vili: VK IX 49; Külm võtnud orase – VK VIII 81; Külm vilja võtnud – VK XI 93, ERlV V 112; Hall vilja viinud – VK VI 104; Vili võetud – ERlA 173; Miks on norkus noored mehed – VK II 144. Eelistavalt eP levinud, populaarne laul. Esineb mitmes arenduses: A. «Kütis külma",2,3,
907,006005039,Sirbiviskamise laul,"Sirise, sirbikene!: VK V 3, VK VII 158, VK X 4, VK XI 128, ERlV I D 24–26, 48; Sirise, sirbike! – VK VI 107, VK VIII 128; Sirbiviskamine – VK III 345; Sirbiviskamise laul – VK IX 75, ERlA 801.

ERlA: 801. Sirbiviskamise laul: populaarne laul, tuntud üle maa, eriti aga Põhja-Eestis (Virus, ",2,3,
908,006002003,Halb õitsipaik,"ERlA 697. Halb õitsipaik: ebastabiilne, väga varieeruv laulutüüp. Vrd. lauluga 449 («Kiik sobimatul kohal»).",2,3,
909,005005047,Kõrtsinaise tütar,"ERlA 579. Kõrtsinaise tütar: tuttav üle maa, ent teisendeid noteeritud vähe ja hõredalt, tundub olevat populaarsem Lääne-Eestis. Laul näikse olevat uuem (refrään on riimilistele lauludele omane). Ligidane laulule 2326.",2,3,
910,002001055,Laulust saar,"ERlA 75. Laulust saar: tuntud peamiselt Ida-Eestis, Virust Võruni. Tegemist on õigupoolest ühe redaktsiooniga populaarsest laulust «Kalajõgi» (281) või selle paralleeltüübiga. Arendusi on väga

palju, nagu oleks tegemist nn. rändsüžeega,

näit. 559 («Õllest saar»), kuid enamasti nad",2,3,
911,011007002,Ei enne laulatust,"Ei enne laulatust: VK III 476, VK VI 491, VK VIII 352, VK X 186, VK XI 277; Saab juurde, seisab vagusi – ERlA 2082.",2,3,
912,008003026,Kubjas mõõtis suure tüki,"motiiv, vt ERlA-s laulutsükli Kubjas ja teomees kirjeldus",2,3,
913,005006014,Kärdu perse hääl,,2,3,
914,011008012,Vanapoisid müürile magama,"Vanapoisid müürile magama: VK VI 510, VK VIII 377, VK IX 336, VK XI 306, ERlA 2007; Müürile magama – VK V 231, ERlA 2100. ERlA : 2007. Vanapoisid müürile magama: tuntud ülemaaliselt, erandiks on Mulgimaa. Pigem motiiv kui

iseseisev laul, enamasti seotud mõne muu pilkega. A-red. — tuntud",2,3,
915,011005018,Oleks see mees minu!,"ERlA 2249. Oleks see mees minu!: tuntud üle maa, noteeritud ohtrasti, populaarne laulutüüp. Vrd. lauludega 2177 („Oleks see neiu minu“) ja 2178 („Suust ma söödaks“) — ühiseid motiive ja ka ühiseid kompositsioonivõtteid, on paralleeltüübid. Esineb mitmes arenduses: A — seotud tüübiga 1071 („Tore sõit“), esineb eP, tavaline arendus; B — samuti eP tuntud, samuti liitub konstitutiivselt lauluga „Tore sõit“, kuid paisutatuna arendus; C — on seotud lauluga 1888 (vt. ka 2504), tuntud eL. Saartel on laul tavaliselt liitunud tüübiga 123 („Poiss sõidab laulma“).
Oleks see mees minul!: VK III 137, VK IV 188, VK V*, VK VII 5, VK X*; Oleks see mees minu!: VK VI 676, VK VIII 485, VK IX 367, VK XI 233, VK XII 386, VK XIII 381, VI XIV 349, ERlA 2249; Neiu vend – VK II 51; Tore peigmees – VK II 52.",2,3,
916,005004027,Soome sild,motiiv,2,3,
917,011003043,Palju püütud neiu,"Paljupüütud neiu: VK V 221, VK VII 115, VK VIII 491, VK IX 296, VK XI 281, ERlV V 34, ERlA 2187; Kallis neiu – VK II 26; Palju püütud neiu – VK VI 661.

ERlA 2187. Palju püütud neiu: põhja-eestiline laulutüüp, eriti tuntud Lääne-Eestis. Siia liitub ohtrasti motiive mujalt, eriti teist",2,3,
918,013002047,Nüüd saab nutta köögiski,"ERlA 3102. Nüüd saab nutta köögiski: eP tuntud, vrd. eelmisega. Samuti antiteetilise ülesehitusega. Sedapuhku tegemist kontaminatsioonilise arendusega. Kasutatud motiive lauludest 1856 («Tütar kodus»), 2331 («Tule mulle!»), I-red. ja juhuslikumalt mujaltki. Puhuti vaeslapselauluna käibel.",2,3,
919,013002036,Minia meelevald,"Minia meelevald: VK III 178, VK IV 220, VK V 77, VK VI 954, VK VIII 668, VK IX

459, VK X 239 VK XI 331; ERlA 3009: 3009. Minia meelevald: ülemaaliselt tuntud (erandiks endine Võrumaa) laulutüüp. Meeleoluliselt orjuslaul (minia võrdleb oma seisundit orja omaga ja leiab, et temal on raskemgi, po",2,3,
920,013002023,Kodus maksin kulla,"ERlA 3101. Kodus maksin kulla: eP tuntud, populaarne laul. Sisult ja meeleolult ligidane orjuslauludele (ja vaeslapselauludele), vrd. ka minialauludega (3009—3015). Puhuti liitub laulule 2296 («Neiu saatus teadmata»). Vrd. «Tütar kodus». I. Rüütel, Vadja pulmalauludest ja nende suhetest ees",2,3,
921,002001053,Laulu lõpetus,,2,3,
922,006008072,Saani tegemine,"Saani tegemine: VK III 306, VK IV 330, VK V 375, VK VII*, VK VIII 12, VK IX 89, VK X 7, VK 134, ERlV IV 50–51, ERlA 849.
NB! võib olla ka lüroeepika (nt VK VIII)
ERlA 849. Saani tegemine: tuntud eelistavalt eP, ka Mulgimaal. Puhtana esineb harva, enamasti ikka liitub siia väga erisuguseid motiive, andes igakord tekstile erisuguse suuni",2,3,
923,003009015,Hobu jookseb ohja tõttu,ERlA 309. Hobu jookseb ohja tõttu: Põhja-Eestis tuntud laul. Mõnevõrra ühist (või analoogilist) sõnastuslikku materjali lauluga 2163 («Võta naine neidudest»).,2,3,
924,007003030,"Peretütar inetu, vaeslaps ilus","Peretütar inetu, vaeslaps ilus: VK VIII 259, VK IX 185, VK X 316, VK XI 212, ERlA 1643; Peretütar ja orjalaps – VK II 30; Vaeslaps ilus ka halval toidul – VK VI 351; Peretütre ja vaeslapse söök – VK VII 287; Peretütar ja vaeslaps – ERlV V 128–129.

ERlA: 1643. Peretütar inetu, vaesl",2,3,
925,008005029,Peretütar ei viitsi vett tuua,"VK IX 170. Peretütar ei viitsi vett tuua: VK VIII 243, ERlA 1562: laisa peretütre hurjutamine lauludes on tuntud üle maa (valdavalt Ida-Eestis). Traditsiooniliselt ühtsest (stereotüüpsest) algusest hargneb see teema mitmesse eritüüpi (peretütre negatiivseks iseloomustamiseks on kasutatud ka",2,3,
926,005003019,Vastumeelt külalised,,2,3,
927,005003008,Küla ütles liigasööjaks,"ERlA 625. Küla ütles liigsööjaks: üle maa tuntud, eriti populaarne aga eP, tüpoloogiliselt ühtne lauluga 1524 («Liigsööja»), eriredaktsioonid. Funktsionaalselt kord humoristlik tänulaul kostitamise eest, kord kibe-satiiriline sulaselaul (1524). Liitub mitmeti, eriti teiste tänulauludega",2,3,
928,008002029,Söögitoojad surnud,"ERlA 1514. Söögitoojad surnud: tuntud eP idaosas (üksikuid üleskirjutusi ka lõuna poolt — Kod, Räp). Esineb liitumisi lauludega 776 («Ei anta süüa»), 1160 («Näljavöö»), 1414 (eriti A-red.), 1427, 1512 ja 1601 («Ema haual»). Laul oli kasutusel ka vaeslapselauluna. Vrd. 1300, red. A",2,3,
929,007003059,Ärge lööge vaeslast!,"ERlA 1617. Ärge lööge vaeslast!: suhteliselt väheste üleskirjutustega esindatud. Levinud Põhja-Eestis ja Saaremaal. Esineb kontamineerunult niisuguste vaeslapse-, mure- ja orjalauludega (~motiividega) nagu 1615 («Vihatud vaeslaps»), 1601 («Ema haual»), 1619 («Tuule arm»), 1596 («Mullas ",2,3,
930,011003007,Kallis neiukaup,"ERlA 2068. Kallis neiukaup: tuntud Põhja-Eestis. Sisult vastandlik eelmisele laulule, sõnastuses aga palju ühist. Vähem tuttav kui «Odav neiukaup». Liitub peamiselt 2159 («Kardab kurja»). Kasutatud ka pulmalauluna. Laulus avaldub teatav iroonia.
Kallis neiukaup – VK IX*, VK XIII 378, ERlA 2068; Kallid neiud – VK III*; Kallid neiud, odavad poisid – VK VI 492.",2,3,
931,006005022,Madal vili,"ERlA 758. Madal vili: tuntud Virus ja Järvas. Väga harva esineb iseseisvalt, tavaliselt ikka seotud tüübiga 760 («Siin on kündnud küürseljad»), otse konstitutiivne kontaminatsioon. Tihti liitub sakste sajatuse motiive.",2,3,
932,013002020,Kallis kasvupõli,"Kallis kasvupõli: VK VII 48, VK VIII 311, VK IX 283, VK X 166, VK XI 218, ERlA 1811; Oh sedä ennista eluda – VK II 134; Oh seda endist elu – VK VI 990; Endine elu – VK III 212; Endine elu isakodus – ERlV V 33.

ERlA 1811. Kallis kasvupõli: tuntud ka nimetuse all «Endine elu». Tuntud ül",2,3,
933,013002059,Seob sängisamba külge,peksmine,2,3,
934,011003006,Ilusamad meie hiired,"ERlA 2073. Ilusamad meie hiired: peamiselt eP levinud, tuntud pilkemotiiv, kasutatud ka poiste pilkena (vt. 1961, var. 3). Iseseisva lauluna tuleb harva ette. Puhuti ka pulmades kasutatud.",2,3,
936,008003079,Sundijale meelehead,"ERlA 1423. Sundijale meelehead: Ida-Eestis tuntud; esineb kahes redaktsioonis: A. Kupjale kurguvõiet

— haruldasepoolne, tuleb ette Kirde-Eestis; B. Kalu kurgu võideks — tuntud eL (kagus); iseseisva lauluna aga esineb harva, liitub mitmeti (tavaliselt kalapüügilauludega, vt. 987).",2,3,
937,006008094,Võtkem noota,motiiv,2,3,
938,011008024,"Võtaks naise, kardab kurja",,2,3,
939,003009119,Teohobuse söök,"ERlA 307. Teohobuse söök: tuntud Kesk-Eestis (Emajõe-äärsetel aladel), kuid sealgi mitte väga. Vt. veel laul 706.
Teohobuse söök: VK V 295, VK VIII 109, VK X 332, VK XI*, VK XIII 168, ERlV V 109, ERlA 307; Halb hein: VK XI 122, ERlV I E 3
",2,3,
940,006009001,Anna piima!,"Anna piima!: VK IX 79, VK XI 141; Sõõru, lehmakene! – VK V 8, VK VII 159, VK X 49, ERlV I I 1–6; Sõeru, sõeru, lehmäkene – VK II 178; Lehmalüpsmine – VK III 335, VK IV 341; Lüpsilaul I–IV – VK VI 75–78.",2,3,
941,011001055,Varandus vammuses,"motiiv satikad, vrdl Uhkus uue kuue peale",2,3,
942,013001015,Naised võõrsil ja kodus,ERlA 2995. Naised võõrsil ja kodus: Põhja- ja Kesk-Eestis tuntud. Liitub puhuti muudele pilkemotiividele.,2,3,
943,013001024,Vahetasin valju naise,,2,3,
944,003009124,Vaene varblane,ERlA 229. Vaene varblane: tuttav Lõuna-Eestis (Mulgimaal eriti). Ka motiivina neiu-vaeslapse iseloomustamiseks (harvasti). Vrd. «Lind tõlda» (1020).,2,3,
945,008004012,Naiste taplus,"Naiste taplus: VK V 356, VK VIII 285, VK IX 167, VK XI 158; Kaksi naista kakkelezid – VK II 243; Külanaiste riid – VK VI 413; Neiud kaklevad – ERlA 2064: eP väga tuntud, ulatub sporaadiliselt lõunassegi. Liitub sageli teekäigulauludega (Saaremaal on laulul «Imelaulule» omane ülesehitus,",2,3,
947,006008077,Sepp teeb sarvest sadula,,2,3,
948,005005039,Kopik kõrtsi,"ERlA 582. Kopik kõrtsi: sellisena haruldane, esineb motiivina joodiku pilkelaulus 3078 («Joodikul pole raha»). Vrd. 583 Raha jäi õllevaadi otsale",2,3,
949,005005037,Kas on viinale vihane,VK XI 247,2,3,
950,005005022,Joodiku kojukutsumine,"ERlA 588. Joodiku kojukutsumine: peamiselt Kesk- ja Lõuna-Eestis tuntud, teisendeid noteeritud võrdlemisi sporaadiliselt. Siia liitub mitmesuguseid muid joomalaulude motiive, eriti 587. Laadilt näikse olevat eepiline, meenutab ballaadi; sisult ligidane uuemale rahvalaulule «Emand, tule koju». L",2,3,
951,008002026,Päike lõunas – orjad lõunata,"VK XI motiiv

ERlA 1512. Ori tahab süüa: peamiseks levikualaks on Põhja-Eesti, ulatub ka lõunasse (mõned redaktsioonid); üleskirjutusi on väga ohtrasti. Motiivistikult võib eristada järgmisi (sageli omavahel liitunud) arendusi: A. Juba mujal söödud — eP tuntud, arvukaimalt esindatud, vr",2,3,
952,008002014,Orja ei lasta koju käima,motiiv,2,3,
953,003001030,Sügisel jõed sügavad,Kodu kaugel-motiiv,2,3,
954,011004021,Virkuseõpetus neiule,,2,3,
955,006009028,Laisk ketraja,,2,3,
956,006009069,Vilets kangas,,2,3,
957,008003028,Kubjas põrgu!,ERlA 1434. KUBJAS PÕRGU!,2,3,
958,012016001,Andke maad marjal tulla!,"ERlA 2724. Andke maad marjal tulla!: eP (eriti Kuusalus) tuntud. Laulavad mõrsja toojad. Vrd. 2752 («Kas on kirstumaad»), ligidased laulud",2,3,
959,012016009,Mis sina toonud tulles,,2,3,
960,012005005,Langude teretus,,2,3,
961,012017001,Viska ustele õlut,,2,3,
962,003009130,Vares ootab hobuse surma,"ERlA 301. Vares ootab hobuse surma: esineb Põhja-Eestis. Liitub lauluga 237, harva ka motiiviga orja ~ teomehe hobusest (vt. 1547—1548). Vrd. «Vaese hobu» (1251).",2,3,
963,005003013,Olge terved kutsumast,"ERlA 616. Olge terved kutsumast: pigem motiiv kui omaette laul; liitub enamasti ikka lauluga 617 («Tänu söögi eest») või mõne muu tänulauluga (621), vt. ka 817 ja 2585. Vrd. ka 630. Esineb peamiselt eP.",2,3,
964,011008002,Koju kopitama,,2,3,
965,007003018,Millest tunneb vaeslapse,"ERlA 1658. Millest tunneb vaeslapse: eL tuntud. Sõnastuses sageli eriarendusi. Esineb puhuti ka kontamineerunult, näit. lauludega 221 («Käokiri»), 1636 («Oma ema ja võõrasema söök»), motiiviga «Nutust järv» (tüüpides 1203, 1205, 1212).",2,3,
966,011001024,Odav poisikaup,vrd Odav neiukaup,2,3,
967,011003040,Odav neiukaup,"ERlA 2067. Odav neiukaup: peamiselt eP ja Mulgimaal tuntud. Kasutatud pilkena ka pulmades. Liitub sageli lauluga 2137 («Unikülas neide vaatamas»). Motiivina esineb eriti teekäigulauludes (ja meresõidulauludes), nagu: 1004 («Laevasõit»), 1064 («Imemaa») red. A ja B. Vt. ka 1002 ja 1003. Vt.",2,3,
968,001003012,Härg varastatud,,2,3,
969,011003057,Tore neiu,"ERlA 2186. Tore neiu: Ülemaaliselt tuntud, rohkete üleskirjutustega esindatud laulutüüp. Stabiilsemalt tuntud eP, eL ja saartel liitub tihti lauluga 2331 («Tulemulle!») ning esineb kosjaainelise lauluna. Kasutatud ka mänguna (vt. 504 «Toreda neiu mäng») põhjarannikul. Vrd. ka 417 («Ilus ",2,3,
970,005004030,Tee-ilu!,"ERlA 1038. Tee-ilu: tuntud üle maa. Ühiseid motiive lauluga 93 «Pole lauljat» (võimalik, et geneetiliselt seotud). Sageli liitub siia motiive vaeslapselauludest (või on lihtsalt mina-tegelaseks orb). Mõnikord on teisendid antiteetilise ülesehitusega: teie ei tee teele ilu, meie teeme. Puhuti",2,3,
971,010003003,Nadu narmasjalg,,2,3,
972,003009095,Loomade töö tulutu,,2,3,
973,003009055,Kiidan teohobust,ERlA 308. Kiidan teohobust: eP populaarne laul. Mõnevõrra meenutab laulu 1774 («Mida keegi kiidab»). Vrd. «Vaese hobu».,2,3,
974,013002049,"Oleks teadnud, et saan kurja kaasa",,2,3,
975,013002026,Kuri mees on kuue hukku,"ERlA 3050. Kuri mees on kuue hukku: eP tuntud ja populaarne. Enamasti halav kaebus, kuid ka õpetuslauluna esinev. Esimene osa (lööksin kokku kuue hõlmad) esineb ka iseseisvalt (vt. järgmine laul). Kasutatud ka pulmalauluna",2,3,
976,011007005,Mee ja saiaga imet tegime,vrdl pl Marjadega pettis kündva peiu,2,3,
977,002001026,Laulab külarahva vihaks,,2,3,
978,006008084,Tee aeda!,,2,3,
979,008004004,Inetud võõrad tulevad,,2,3,
980,002001076,Nüüd pole suul sulgejat,"ERlA 54. Nüüd pole suul sulgejat: tuntud üle maa, ent eelistavalt eL. Liitub sageli lauluga 53; paralleeltüüp siinsele laulule on 2024 («Neiud kui ohjata hobused»), ka 2025 ja 2026, kus puudub suu sulgemise motiiv. Sisuliselt on laul ühelt poolt otsekui laulu 49 edasiarenduseks, teiselt pool",2,3,
981,008004001,Ei hooli laimust,"Ei hooli laimust - VK XI 226; Ei hooli laimust-kiidust – VK VIII 344; Ei hooli laitmisest – VK IX*, ERlA 1137. 

ERlA 1137. Ei hooli laitmisest: tuntud eP ja Mulgimaal; ühiseid motiive lauluga 1138.",2,3,
982,011006055,Neiupaelad,"ERlA 2133. Neiupaelad: eP tuntud, levinud ka Mulgimaal. Populaarne laul. Vrd. eelmisega ja lauluga 22 («Arg kosilane»). Ühiseid motiive tüübiga 1380 («Teder teeb teopäevad»), mis puhuti siia liitub (vt. var. 2).",2,3,
983,011008013,Vanapoisi ja vanatüdruku matus,vrdl Poisi ja neiu matus,2,3,
984,011008018,Vanapoissi vaevati,,2,3,
985,006009020,"Ketra, Liisu!","ERlA 902. Ketra, Liisu!: laialt tuttav, eriti populaarne eP. Ülesehituselt meenutab mängulaulu. Sisult ligidane kosjaunistustele.",2,3,
986,003009009,Hiire pulmad,"Hiire pulmad: VK V 323, VK VI 1086, VK VII*, VK VIII 728, VK IX 512, VK X 401, VK XI 415, VK XII 526, VK XIII 595, VK XIV 533, ERlV V 181–182; Oi roi, oi roi, rotil pulmad – VK II 268; Hiire pulmad – ERlA 271: 271. Hiire pulm: tuntud ja populaarne üle maa, eriti saartel. Esineb niihästi üksi (puhtalt) kui ka koos lauluga 242. ",2,3,
